,REVIEWS,LABEL
458,well made fits Surefire GX2 perfectly,1
459,Horrible phone,0
460,BT50 battery junk !,0
461,recommend others,1
462,Cant get software work computer,0
463,Disappointed !,0
464,poor voice clarity,0
465,battery works great !,1
466,no_buyers remorse one !,0
467,disappointed AccessoryOne,0
468,find inexcusable will probably returning phone perhaps changing carriers,0
469,Looks great strong,1
470,TMobile service 2 3 years now pretty happy,1
471,update procedure difficult cumbersome,0
472,Disappointment hate anything goes ear,0
473,Great software Motorolas,1
474,delivery time,1
475,easy use,1
476,Uncomfortable Ear Don't use LG VX9900 EnV,0
477,volume switch rocketed unit destination unknown,0
478,holds charge long time reasonably comfortable long-wearing conditions quality sound tremendous,1
479,like return,0
480,keyboard really worthwhile usefulness sturdy enough don't expect problems,1
481,Verizon's bills however difficult understand even though pricing plans simple,0
482,charging overnight batteries work great,1
483,regret !,1
484,love phone !,1
485,Disappointment,0
486,not_user friendly,0
487,Unfortunately ability actually know receiving call rather important feature phone pitiful respect,0
488,exchanged phone even problem,0
489,results phone either stuck max volume mute,0
490,PDA rocks,1
491,super charged use small hybrid palmtop camera cellphone excels roles,1
492,definitely recommend Jabra BT250v looking comfort clarity great price !,1
493,Verizon 2 years ago really liked service,1
494,Pretty piece junk,0
495,Plug wrong size,0
496,Works described,1
497,Save money item 11 months now,0
498,Bad Purchase,0
499,WELL IM SATISFIED,1
500,bose noise cancelling amazing important NYC commuter,1
501,battery excellent bargain !,1
502,Defective crap,0
503,given no_star able,0
504,wear glasses fits fine,1
505,sound quality device unacceptable Unless really quiet area almost hear nothing,0
506,not_recommend item anyone,0
507,holster arrived not_match photo ad,0
508,great no_problems !,1
509,earlier review noted plug charger nothing_happens,0
510,frog phone charm adorable eye catching,1
511,never know pushed hard enough right number times function want not,0
512,sound clear people talk amazed quality,1
513,got aluminum case new Palm VX worked really well--it protected handheld perfectly far,1
514,good product well made,1
515,Mobile Phone Tools must,1
516,impressed job Motorola sturdiness phone,1
517,received orders well within shipping timeframe everything good working order overall excited source,1
518,phone sturdy waterproof,1
519,not_impressed not_recommend item anyone,0
520,complaint standard sound volume little low even turned 5 5,0
521,Thanks Amazon things need good price !,1
522,ended sliding edge pants back pockets instead,1
523,go store bought new NOKIA phone working great,1
524,Works great !,1
525,REALLY UGLY,0
526,horrible switch 3 times,0
527,noise shield incrediable,1
528,no_real improvement,0
529,Razr Battery - Good buy,1
530,Keep good work Amazon ! !,1
531,refuse refund replace,0
532,Unfortunately easy accidentally activate gentle-touch buttons accidentally touch phone face listening,0
533,basically threw money window nothing,0
534,Great case price !,1
535,took one drop 6 inches kitchen counter cracked not_impressed not_laughing,0
536,Bluetooth range good - days ago left phone trunk got call carried conversation without hitch,1
537,Small sleek impressive looking practical setup ample storage place,1
538,eargels channel sound directly ear seem increase sound volume clarity,1
539,none new ones ever quite worked properly,0
540,glad purchased,1
541,missed numerous calls reason,0
542,Perhaps phone defective people cannot_hear use,0
543,Don't buy product,0
544,sucked stuff not_work phone,0
545,no_shifting no_bubbling no_peeling not_even scratch nothing_! couldn't happier new one Droid,1
546,Worst software ever used could give zero stars,0
547,Trying make call exercise frustration,0
548,case flimsy piece plastic no_front side protection whatsoever,0
549,Jabra Earset happy sound quality especially outgoing better,1
550,love camera really pretty good quality,1
551,Thank great service,1
552,total package,1
553,seller understanding patient definitely buy,1
554,give Wirefly 1 star will contact Cingular T inform practice,0
555,AGGRAVATING !,0
556,Great product price !,1
557,purchased family friends enjoy clarity ease use,1
558,Virgin Wireless rocks cheap little phone !,1
559,None works just don't buy,0
560,Muddy low quality sound casing around wire's insert poorly super glued slid,0
561,Please dont waste money,0
562,quite satisfied purchase,1
563,looking good quality Motorola Headset keep looking,0
564,Yet Plantronincs continues use flawed charger design,0
565,Disapointing Results,0
566,Cumbersome design,0
567,Great new packaged nice works good no_problems came less time expected ! ! ! !,1
568,Great Product,1
569,PIECE CRAP !,0
570,experience terrible fourth bluetooth headset much comfortable last Jabra HATED ! ! !,0
571,fixes problems,1
572,Worst ever,0
573,happy,1
574,no_trouble accessing Internet downloading ringtones performing functions,1
575,can barely ever hear constantly saying ?,0
576,battery life highly unacceptable,0
577,company joke,0
578,everything description said,1
579,Due happening every call forced stop using headset,0
580,works great car charger especially cannot_plug two adapters time,1
581,Verizon tech support walked procedures none worked ended hard re-set wiping data,0
582,Voice Quality Signal Strength Dropped Calls,0
583,plays louder speaker size price low think quality lacking however not,1
584,Better expected,1
585,feels poorly constructed menus difficult navigate buttons recessed difficult push,0
586,Battery holding well,1
587,Also difficult put recommend avoiding product,0
588,used two days wasn't always easy hear,0
589,got car charger not_even week charger broken went plug it started smoking,0
590,Sprint - terrible customer service,0
591,Linked phone without effort,1
592,cool !,1
593,Easy use,1
594,Better New,1
595,possesed get junk no_idea,0
596,Piece trash,0
597,pretty good product,1
598,great phone !,1
599,price Amazon excellent product highly recommend,1
600,Research Development division obviously knows,1
601,real killer volume course breaking,0
602,phones working just fine now,1
603,happy product,1
604,Poor Construction,0
605,infuriating,0
606,Overall recommend phone new Walkman,1
607,Sprint charges service,0
608,cheap feel look just cheap,0
609,fits ear well comfortable,1
610,doesn't work Europe Asia,0
611,clipping belt will deffinitely make feel like 50 cent's up-and-coming,1
612,like design look Jabra behing ear headsets 5020 pretty comfortible wear 24 hours day without pain ear,1
613,amazed quick arrival two original lg cell phone batteries and fraction price,1
614,worst phone samsung crap crappy Samsung E715 worst ever seeen,0
615,charger worked week completely stopped charging phone,0
616,Poor product,0
617,However needed better instructions,0
618,need two hands operate screen software interface decade old cannot_compete new software designs,0
619,Worked well paired Treo 700w Skype headset PC using USB Bluetooth transceiver,1
620,Steer clear product go genuine Palm replacementr pens come three-pack,0
621,not_BUY not_BUYIT SUCKS,0
622,great product sure beats using fingers !,1
623,Plus seriously not_believe worth steep price point,0
624,cases tried normally fall apart months one seems long haul,1
625,Dissapointing Performance,0
626,Don't make mistake please don't buy phone,0
627,phone might well worst ever brand,0
628,Case less extra originally put later discarded scratched ear,0
629,recommend iGo anyone different brand cell phones mp3 players family,1
630,Don't bother - go store,0
631,posted detailed comments grey black phone Fire Red great color !,1
632,not_problem item order needed,1
633,get pay guess,0
634,not_software great job could also make ringtones form existing CDs without internet connection,1
635,im surprised good quality car charger not_much reviews,1
636,fabulous !,1
637,However BT headsets currently not_good real time games like first-person shooters since audio delay messes,0
638,used bitpim free program can find internet transfer data phone price cable excellent,1
639,Disappointing accessory good manufacturer,0
640,Performed awful -- muffled tinny incoming sound severe echo end call,0
641,wind-resistant,1
642,Obviously terrible customer service get pay,0
643,not_last forever not_overly expensive replace Easy operate sound much better others tried,1
644,contacted company told although unit still warranty couldn't produce receipt luck,0
645,Linksys way exchange bad phone refurb unit something !,0
646,Phone sturdy nokia bar phones,1
647,Great phone,1
648,placed treo case not_not_snug LOT extra room sides,0
649,pleased,1
650,Battery terrible,0
651,found product easy set use,1
652,earpiece large heavy keeps falling ear,0
653,Utter crap Sound quality TERRIBLE,0
654,charger arrived within promised timeframe not_work,0
655,no_ear loop needed tiny sound great,1
656,Finally three four times spring latch broke could not_use longer visor,0
657,handsfree part works fine car tries download address book Treo reboots Overall still rate device high,1
658,Talk USELESS customer service,0
659,felt light tinny,0
660,not_fit Palm Tungsten E2 broke first time tried plug,0
661,happy purchase- good quality low price,1
662,love look feel Samsung flipphones,1
663,well-designed sharp -- blue nice color,1
664,everything,1
665,could not_recommend,0
666,Nice Sound,1
667,Looks good picture case huge disappointment ! !,0
668,Much less jawbone going replace,1
669,Setup went smoothly,1
670,extremely slow takes forever anything,0
671,must study anyone interested worst sins industrial design,0
672,first thing happened tracking,0
673,well made easy access phone handy detachable belt clip,1
674,continue pairing periodically since somehow kept dropping,0
675,Can't upload ringtones third party,0
676,Bluetooth not_work phone locks screens just flash now just makes calls randomly pocket locked,0
677,Truly awful,0
678,works fine Motorola 325 cellphone lot better worn-out battery,1
679,volume ringer REAL good choices loud,1
680,none tones acceptable,0
681,camera color balance AWFUL,0
682,product clearly not_ready prime time don't care cool looks can't tell call coming worthless,0
683,love ringtones upbeat !,1
684,Chinese Forgeries Abound !,0
685,Easy pair Samsung Cell,1
686,instructions didn't explain microphone jack could used,0
687,advise not_purchase item never worked well,0
688,bad pay $$$ month service !,0
689,Works well,1
690,nokia CA-42 USB cable not_work phone,0
691,Clear crisp sound,1
692,use smallest earpieces provided stays pretty well,1
693,biggest complaint battery drains superfast,0
694,design might ergonomic theory could not_stand ear,0
695,not_buy want use holster,0
696,phone can also take great pictures even video clips,1
697,doesn't make look cool,0
698,ears occupied background not_distracting,1
699,Comfortable fit - need headset comfortable least hour time not_entire day,1
700,Also phone doesn't seem accept anything except CBR mp3s preferably ripped Windows Media Player,0
701,can't beat price,1
702,Comes strong light can use light camera shots even flash SOS signals seriously !,1
703,lightweight works well,1
704,just beware,0
705,love cable - allows connect mini-USB device PC,1
706,anyone near will hear part conversation,0
707,cool cases just open allowing screen get scratched,1
708,bought phone replacement StarTac regretted since,0
709,Appears actually outperform original battery China came V325i,1
710,Can't store anything phone numbers SIM,0
711,lasts less 3o minutes actually try use phone wife phone problem,0
712,Poor quality,0
713,jabra ear gels R best !,1
714,not_worth,0
715,phone crashed completely now get replaced,0
716,quit working used 18 months just purchased another one best headset ever owned,1
717,Unfortunately will not_recharge iPhone 4s despite connecting multiple power sources iMac external battery wall outlet etc,0
718,great phone,1
719,simply want small flip phone -- look elsewhere extra bells whistles mediocre,0
720,Good value works fine - power via USB car wall outlet,1
721,phone doesn't slide around car now grip prevents phone slipping hand,1
722,simply BEST bluetooth headset sound quality !,1
723,Think plan one ! sure last MOTO phone !,0
724,span hour two people exclaim Whoa - new phone TV ? ! ?,1
725,always used corded headsets freedom wireless helpful,1
726,case passed one year mark shows signs wear 100% functional,1
727,leather nice soft fit tight cut face good shape,1
728,everything need couldn't ask,1
729,receiving using product just 2 days broke,0
730,product great makes working lot easier can go copier waiting hold something,1
731,None three sizes sent headset stay ears,0
732,T-Mobile best customer service anywhere,1
733,Arrived quickly much less expensive others sold,1
734,tried 2 units failed within 2 months Pros,0
735,Provides good protection looks classy,1
736,Krussel Always good,1
737,tracfonewebsite user friendly makes easy toactivate etc,1
738,design good 4,1
739,great reception time,1
740,highly recommend product,1
741,Couldn't use unit sunglasses not_good Texas !,0
742,dit not_work time Nokia 5320,0
743,Bought mainly charger broke soon purchasing,0
744,like loud buzzing override conversations phone !,0
745,Fantastic buy will get whatever next phone,1
746,stay away store careful,0
747,BlueAnt Supertooth hands-free phone speaker AWESOME,1
748,not_fit,0
749,Item arrived quickly works great Metro PCS Samsung SCH-r450 slider phone Sony Premium Sound ear plugs,1
750,light plenty battery capacity confortable wear somewhat extended periods time,1
751,disappointing,0
752,Blue Ant easy use,1
753,Cheap hey works pleasantly suprised given low cost item,1
754,camera phone may used dustpan indoors rather using disposable,0
755,days later puff smoke came phone use,0
756,convenient simple use - gets job done makes car ride much smoother,1
757,nano_stated son dissapointed,0
758,sound quality excellent well,1
759,best headset used,1
760,not_reccommend,0
761,around years carries highest quality anti-glare screen protector found date,1
762,Just wanted,1
763,particular model not_work Motorola Q smartphone,0
764,wont work right atleast,0
765,addition feels amp looks phone lightweight cheap plastic,0
766,now warranty problems reoccure Bottom line put money somewhere else Cingular will not_support,0
767,really wanted Plantronics 510 right one many issues good,0
768,Great product,1
769,Crisp Clear,1
770,first charge kept going dead 12 minutes,0
771,cheap plastic creaks like old wooden floor,0
772,get absolutely horrible reception apartment phones not_problem,0
773,reception generally good,1
774,Excellent sound battery life inconspicuous boot !,1
775,Great bluetooth !,1
776,highly recommend case,1
777,WORTHWHILE,1
778,great deal,1
779,phone got year old slowly breaking despite much care part,0
780,sorry made purchase,0
781,bought hoping could make Bluetooth headset fit better things made impossible wear,0
782,Treo T-Mobile refused replace forced buy another phone without kind upgrade discount,0
783,horrible !,0
784,don't think hold securly belt,0
785,allows possibility double booking date time first,0
786,work 2 weeks break,0
787,simple use like,1
788,great tool entertainment communication data management Oh sure use ActiveSync 4 2 optimal data synchronization results !,1
789,can't use case smell disgusting,0
790,not_WANTED,0
791,2 cases order another,1
792,Great Phone,1
793,bought battery coupon Amazon happy purchase,1
794,internet access fine rare instance worked,0
795,Perfect PS3,1
796,Five star Plus plus,1
797,good quality bargain bought bought cheapy Big Lots sounded awful people end couldn't hear,1
798,$50 drain,0
799,tried talking real loud shouting telephone gets old still told wasn't great,0
800,Good works fine,1
801,price great deal,1
802,Great price !,1
803,wind completely useless,0
804,Yes shiny front side - love !,1
805,not_Work,0
806,first thought grtting good deal $7 44 plugged phone V3c Razr,0
807,reception headset excellent,1
808,2 thumbs seller,1
